Departamento,Municipio,Cantidad,Divipola
ANTIOQUIA,MEDELLIN,2372330,5001
ANTIOQUIA,ABEJORRAL,17599,5002
ANTIOQUIA,ABRIAQUI,2159,5004
ANTIOQUIA,ALEJANDRIA,3839,5021
ANTIOQUIA,AMAGA,26821,5030
ANTIOQUIA,AMALFI,20265,5031
ANTIOQUIA,ANDES,38144,5034
ANTIOQUIA,ANGELOPOLIS,5027,5036
ANTIOQUIA,ANGOSTURA,10500,5038
ANTIOQUIA,ANORI,14502,5040
ANTIOQUIA,SANTAFE DE ANTIOQUIA,23216,5042
ANTIOQUIA,ANZA,6388,5044
ANTIOQUIA,APARTADO,113469,5045
ANTIOQUIA,ARBOLETES,26289,5051
ANTIOQUIA,ARGELIA,6752,5055
ANTIOQUIA,ARMENIA,3819,5059
ANTIOQUIA,BARBOSA,44757,5079
ANTIOQUIA,BELMIRA,5349,5086
ANTIOQUIA,BELLO,481901,5088
ANTIOQUIA,BETANIA,8589,5091
ANTIOQUIA,BETULIA,15097,5093
ANTIOQUIA,CIUDAD BOLIVAR,23361,5101
ANTIOQUIA,BRICEÑO,5946,5107
ANTIOQUIA,BURITICA,7409,5113
ANTIOQUIA,CACERES,26460,5120
ANTIOQUIA,CAICEDO,7018,5125
ANTIOQUIA,CALDAS,76260,5129
ANTIOQUIA,CAMPAMENTO,7432,5134
ANTIOQUIA,CAÑASGORDAS,13595,5138
ANTIOQUIA,CARACOLI,3967,5142
ANTIOQUIA,CARAMANTA,4269,5145
ANTIOQUIA,CAREPA,45936,5147
ANTIOQUIA,EL CARMEN DE VIBORAL,53949,5148
ANTIOQUIA,CAROLINA,3343,5150
ANTIOQUIA,CAUCASIA,84717,5154
ANTIOQUIA,CHIGORODO,55564,5172
ANTIOQUIA,CISNEROS,8910,5190
ANTIOQUIA,COCORNA,14743,5197
ANTIOQUIA,CONCEPCION,3936,5206
ANTIOQUIA,CONCORDIA,16095,5209
ANTIOQUIA,COPACABANA,76479,5212
ANTIOQUIA,DABEIBA,22717,5234
ANTIOQUIA,DON MATIAS,14208,5237
ANTIOQUIA,EBEJICO,10338,5240
ANTIOQUIA,EL BAGRE,47642,5250
ANTIOQUIA,ENTRERRIOS,8820,5264
ANTIOQUIA,ENVIGADO,212437,5266
ANTIOQUIA,FREDONIA,18790,5282
ANTIOQUIA,FRONTINO,20156,5284
ANTIOQUIA,GIRALDO,5057,5306
ANTIOQUIA,GIRARDOTA,49045,5308
ANTIOQUIA,GOMEZ PLATA,8235,5310
ANTIOQUIA,GRANADA,9204,5313
ANTIOQUIA,GUADALUPE,5452,5315
ANTIOQUIA,GUARNE,42500,5318
ANTIOQUIA,GUATAPE,7038,5321
ANTIOQUIA,HELICONIA,4709,5347
ANTIOQUIA,HISPANIA,4950,5353
ANTIOQUIA,ITAGUI,263332,5360
ANTIOQUIA,ITUANGO,23784,5361
ANTIOQUIA,JARDIN,13541,5364
ANTIOQUIA,JERICO,11257,5368
ANTIOQUIA,LA CEJA,59386,5376
ANTIOQUIA,LA ESTRELLA,67881,5380
ANTIOQUIA,LA PINTADA,7974,5390
ANTIOQUIA,LA UNION,20769,5400
ANTIOQUIA,LIBORINA,7928,5411
ANTIOQUIA,MACEO,7297,5425
ANTIOQUIA,MARINILLA,55230,5440
ANTIOQUIA,MONTEBELLO,5881,5467
ANTIOQUIA,MURINDO,4642,5475
ANTIOQUIA,MUTATA,12607,5480
ANTIOQUIA,NARIÑO,8603,5483
ANTIOQUIA,NECOCLI,38420,5490
ANTIOQUIA,NECHI,24066,5495
ANTIOQUIA,OLAYA,2719,5501
ANTIOQUIA,PEÑOL,18010,5541
ANTIOQUIA,PEQUE,7155,5543
ANTIOQUIA,PUEBLORRICO,7202,5576
ANTIOQUIA,PUERTO BERRIO,36801,5579
ANTIOQUIA,PUERTO NARE,12161,5585
ANTIOQUIA,PUERTO TRIUNFO,17231,5591
ANTIOQUIA,REMEDIOS,22530,5604
ANTIOQUIA,RETIRO,20700,5607
ANTIOQUIA,RIONEGRO,116400,5615
ANTIOQUIA,SABANALARGA,7833,5628
ANTIOQUIA,SABANETA,81797,5631
ANTIOQUIA,SALGAR,15782,5642
ANTIOQUIA,SAN ANDRES DE CUERQUIA,6295,5647
ANTIOQUIA,SAN CARLOS,14480,5649
ANTIOQUIA,SAN FRANCISCO,5365,5652
ANTIOQUIA,SAN JERONIMO,13158,5656
ANTIOQUIA,SAN JOSE DE LA MONTAÑA,2952,5658
ANTIOQUIA,SAN JUAN DE URABA,19992,5659
ANTIOQUIA,SAN LUIS,11120,5660
ANTIOQUIA,SAN PEDRO,17119,5664
ANTIOQUIA,SAN PEDRO DE URABA,30527,5665
ANTIOQUIA,SAN RAFAEL,12578,5667
ANTIOQUIA,SAN ROQUE,17792,5670
ANTIOQUIA,SAN VICENTE,18051,5674
ANTIOQUIA,SANTA BARBARA,22030,5679
ANTIOQUIA,SANTA ROSA DE OSOS,31067,5686
ANTIOQUIA,SANTO DOMINGO,9786,5690
ANTIOQUIA,EL SANTUARIO,30311,5697
ANTIOQUIA,SEGOVIA,33690,5736
ANTIOQUIA,SONSON,31861,5756
ANTIOQUIA,SOPETRAN,13748,5761
ANTIOQUIA,TAMESIS,15012,5789
ANTIOQUIA,TARAZA,22826,5790
ANTIOQUIA,TARSO,5663,5792
ANTIOQUIA,TITIRIBI,8316,5809
ANTIOQUIA,TOLEDO,4930,5819
ANTIOQUIA,TURBO,114434,5837
ANTIOQUIA,URAMITA,6523,5842
ANTIOQUIA,URRAO,29004,5847
ANTIOQUIA,VALDIVIA,11511,5854
ANTIOQUIA,VALPARAISO,5431,5856
ANTIOQUIA,VEGACHI,11134,5858
ANTIOQUIA,VENECIA,10280,5861
ANTIOQUIA,VIGIA DEL FUERTE,8139,5873
ANTIOQUIA,YALI,6234,5885
ANTIOQUIA,YARUMAL,36337,5887
ANTIOQUIA,YOLOMBO,19010,5890
ANTIOQUIA,YONDO,17597,5893
ANTIOQUIA,ZARAGOZA,24067,5895
ATLANTICO,BARRANQUILLA,1120103,8001
ATLANTICO,BARANOA,61527,8078
ATLANTICO,CAMPO DE LA CRUZ,22810,8137
ATLANTICO,CANDELARIA,15631,8141
ATLANTICO,GALAPA,55123,8296
ATLANTICO,JUAN DE ACOSTA,18828,8372
ATLANTICO,LURUACO,27647,8421
ATLANTICO,MALAMBO,119920,8433
ATLANTICO,MANATI,19233,8436
ATLANTICO,PALMAR DE VARELA,27098,8520
ATLANTICO,PIOJO,5636,8549
ATLANTICO,POLONUEVO,16222,8558
ATLANTICO,PONEDERA,23420,8560
ATLANTICO,PUERTO COLOMBIA,47899,8573
ATLANTICO,REPELON,25467,8606
ATLANTICO,SABANAGRANDE,32026,8634
ATLANTICO,SABANALARGA,92480,8638
ATLANTICO,SANTA LUCIA,12650,8675
ATLANTICO,SANTO TOMAS,28693,8685
ATLANTICO,SOLEDAD,535984,8758
ATLANTICO,SUAN,11607,8770
ATLANTICO,TUBARA,12718,8832
ATLANTICO,USIACURI,9543,8849
BOGOTA,BOGOTA,7181469,11001
BOLIVAR,CARTAGENA,887946,13001
BOLIVAR,ACHI,18879,13006
BOLIVAR,ALTOS DEL ROSARIO,9009,13030
BOLIVAR,ARENAL,7169,13042
BOLIVAR,ARJONA,67118,13052
BOLIVAR,ARROYOHONDO,8058,13062
BOLIVAR,BARRANCO DE LOBA,14435,13074
BOLIVAR,CALAMAR,22202,13140
BOLIVAR,CANTAGALLO,6874,13160
BOLIVAR,CICUCO,13120,13188
BOLIVAR,CORDOBA,15012,13212
BOLIVAR,CLEMENCIA,13821,13222
BOLIVAR,EL CARMEN DE BOLIVAR,67461,13244
BOLIVAR,EL GUAMO,7861,13248
BOLIVAR,EL PEÑON,7234,13268
BOLIVAR,HATILLO DE LOBA,11770,13300
BOLIVAR,MAGANGUE,128003,13430
BOLIVAR,MAHATES,26075,13433
BOLIVAR,MARGARITA,9720,13440
BOLIVAR,MARIA LA BAJA,45324,13442
BOLIVAR,MONTECRISTO,13470,13458
BOLIVAR,MOMPOS,43217,13468
BOLIVAR,MORALES,18678,13473
BOLIVAR,NOROSI,7899,13490
BOLIVAR,PINILLOS,23349,13549
BOLIVAR,REGIDOR,5335,13580
BOLIVAR,RIO VIEJO,8125,13600
BOLIVAR,SAN CRISTOBAL,7454,13620
BOLIVAR,SAN ESTANISLAO,16518,13647
BOLIVAR,SAN FERNANDO,9776,13650
BOLIVAR,SAN JACINTO,23576,13654
BOLIVAR,SAN JACINTO DEL CAUCA,8079,13655
BOLIVAR,SAN JUAN NEPOMUCENO,35438,13657
BOLIVAR,SAN MARTIN DE LOBA,14504,13667
BOLIVAR,SAN PABLO,24669,13670
BOLIVAR,SANTA CATALINA,14039,13673
BOLIVAR,SANTA ROSA,18375,13683
BOLIVAR,SANTA ROSA DEL SUR,27825,13688
BOLIVAR,SIMITI,15353,13744
BOLIVAR,SOPLAVIENTO,9187,13760
BOLIVAR,TALAIGUA NUEVO,12845,13780
BOLIVAR,TIQUISIO,17939,13810
BOLIVAR,TURBACO,98667,13836
BOLIVAR,TURBANA,15550,13838
BOLIVAR,VILLANUEVA,21135,13873
BOLIVAR,ZAMBRANO,11367,13894
BOYACA,TUNJA,167991,15001
BOYACA,ALMEIDA,1582,15022
BOYACA,AQUITANIA,13860,15047
BOYACA,ARCABUCO,5465,15051
BOYACA,BELEN,7322,15087
BOYACA,BERBEO,1453,15090
BOYACA,BETEITIVA,1895,15092
BOYACA,BOAVITA,5024,15097
BOYACA,BOYACA,4472,15104
BOYACA,BRICEÑO,2054,15106
BOYACA,BUENAVISTA,4240,15109
BOYACA,BUSBANZA,903,15114
BOYACA,CALDAS,3086,15131
BOYACA,CAMPOHERMOSO,2705,15135
BOYACA,CERINZA,3636,15162
BOYACA,CHINAVITA,2842,15172
BOYACA,CHIQUINQUIRA,52321,15176
BOYACA,CHISCAS,3587,15180
BOYACA,CHITA,7778,15183
BOYACA,CHITARAQUE,5013,15185
BOYACA,CHIVATA,2783,15187
BOYACA,CIENEGA,4492,15189
BOYACA,COMBITA,12636,15204
BOYACA,COPER,3019,15212
BOYACA,CORRALES,2479,15215
BOYACA,COVARACHIA,2628,15218
BOYACA,CUBARA,10164,15223
BOYACA,CUCAITA,3375,15224
BOYACA,CUITIVA,1628,15226
BOYACA,CHIQUIZA,4347,15232
BOYACA,CHIVOR,1669,15236
BOYACA,DUITAMA,117606,15238
BOYACA,EL COCUY,3999,15244
BOYACA,EL ESPINO,2715,15248
BOYACA,FIRAVITOBA,6523,15272
BOYACA,FLORESTA,3186,15276
BOYACA,GACHANTIVA,2744,15293
BOYACA,GAMEZA,4395,15296
BOYACA,GARAGOA,14145,15299
BOYACA,GUACAMAYAS,1790,15317
BOYACA,GUATEQUE,8123,15322
BOYACA,GUAYATA,3112,15325
BOYACA,GUICAN,3921,15332
BOYACA,IZA,1944,15362
BOYACA,JENESANO,6333,15367
BOYACA,JERICO,3540,15368
BOYACA,LABRANZAGRANDE,3075,15377
BOYACA,LA CAPILLA,2300,15380
BOYACA,LA VICTORIA,956,15401
BOYACA,LA UVITA,2872,15403
BOYACA,VILLA DE LEYVA,14406,15407
BOYACA,MACANAL,3568,15425
BOYACA,MARIPI,5354,15442
BOYACA,MIRAFLORES,8274,15455
BOYACA,MONGUA,4300,15464
BOYACA,MONGUI,3895,15466
BOYACA,MONIQUIRA,20848,15469
BOYACA,MOTAVITA,5253,15476
BOYACA,MUZO,8323,15480
BOYACA,NOBSA,14651,15491
BOYACA,NUEVO COLON,5025,15494
BOYACA,OICATA,2797,15500
BOYACA,OTANCHE,6997,15507
BOYACA,PACHAVITA,2275,15511
BOYACA,PAEZ,2930,15514
BOYACA,PAIPA,31141,15516
BOYACA,PAJARITO,1941,15518
BOYACA,PANQUEBA,1644,15522
BOYACA,PAUNA,6355,15531
BOYACA,PAYA,2061,15533
BOYACA,PAZ DE RIO,4047,15537
BOYACA,PESCA,6604,15542
BOYACA,PISBA,1582,15550
BOYACA,PUERTO BOYACA,44784,15572
BOYACA,QUIPAMA,4194,15580
BOYACA,RAMIRIQUI,8889,15599
BOYACA,RAQUIRA,7312,15600
BOYACA,RONDON,2230,15621
BOYACA,SABOYA,11161,15632
BOYACA,SACHICA,4823,15638
BOYACA,SAMACA,17542,15646
BOYACA,SAN EDUARDO,1572,15660
BOYACA,SAN JOSE DE PARE,4658,15664
BOYACA,SAN LUIS DE GACENO,4551,15667
BOYACA,SAN MATEO,3307,15673
BOYACA,SAN MIGUEL DE SEMA,2901,15676
BOYACA,SAN PABLO DE BORBUR,5839,15681
BOYACA,SANTANA,6826,15686
BOYACA,SANTA MARIA,3109,15690
BOYACA,SANTA ROSA DE VITERBO,11329,15693
BOYACA,SANTA SOFIA,2959,15696
BOYACA,SATIVANORTE,2026,15720
BOYACA,SATIVASUR,1048,15723
BOYACA,SIACHOQUE,6649,15740
BOYACA,SOATA,8538,15753
BOYACA,SOCOTA,7133,15755
BOYACA,SOCHA,7509,15757
BOYACA,SOGAMOSO,120462,15759
BOYACA,SOMONDOCO,2377,15761
BOYACA,SORA,2586,15762
BOYACA,SOTAQUIRA,7953,15763
BOYACA,SORACA,5904,15764
BOYACA,SUSACON,2555,15774
BOYACA,SUTAMARCHAN,5755,15776
BOYACA,SUTATENZA,3501,15778
BOYACA,TASCO,5150,15790
BOYACA,TENZA,3461,15798
BOYACA,TIBANA,7966,15804
BOYACA,TIBASOSA,11023,15806
BOYACA,TINJACA,2869,15808
BOYACA,TIPACOQUE,3154,15810
BOYACA,TOCA,8707,15814
BOYACA,TOGUI,4224,15816
BOYACA,TOPAGA,3531,15820
BOYACA,TOTA,4530,15822
BOYACA,TUNUNGUA,1526,15832
BOYACA,TURMEQUE,5856,15835
BOYACA,TUTA,8154,15837
BOYACA,TUTAZA,1794,15839
BOYACA,UMBITA,6905,15842
BOYACA,VENTAQUEMADA,13984,15861
BOYACA,VIRACACHA,2582,15879
BOYACA,ZETAQUIRA,4301,15897
CALDAS,MANIZALES,400436,17001
CALDAS,AGUADAS,20712,17013
CALDAS,ANSERMA,31811,17042
CALDAS,ARANZAZU,9854,17050
CALDAS,BELALCAZAR,9690,17088
CALDAS,CHINCHINA,48484,17174
CALDAS,FILADELFIA,9630,17272
CALDAS,LA DORADA,70802,17380
CALDAS,LA MERCED,5325,17388
CALDAS,MANZANARES,16532,17433
CALDAS,MARMATO,8485,17442
CALDAS,MARQUETALIA,12146,17444
CALDAS,MARULANDA,2081,17446
CALDAS,NEIRA,20495,17486
CALDAS,NORCASIA,5949,17495
CALDAS,PACORA,13214,17513
CALDAS,PALESTINA,13560,17524
CALDAS,PENSILVANIA,17342,17541
CALDAS,RIOSUCIO,48329,17614
CALDAS,RISARALDA,9840,17616
CALDAS,SALAMINA,16759,17653
CALDAS,SAMANA,17466,17662
CALDAS,SAN JOSE,4524,17665
CALDAS,SUPIA,26571,17777
CALDAS,VICTORIA,8172,17867
CALDAS,VILLAMARIA,62831,17873
CALDAS,VITERBO,12432,17877
CAQUETA,FLORENCIA,156789,18001
CAQUETA,ALBANIA,4514,18029
CAQUETA,BELEN DE LOS ANDAQUIES,9075,18094
CAQUETA,CARTAGENA DEL CHAIRA,27939,18150
CAQUETA,CURILLO,7518,18205
CAQUETA,EL DONCELLO,17775,18247
CAQUETA,EL PAUJIL,13014,18256
CAQUETA,LA MONTAÑITA,12128,18410
CAQUETA,MILAN,7507,18460
CAQUETA,MORELIA,3350,18479
CAQUETA,PUERTO RICO,24395,18592
CAQUETA,SAN JOSE DEL FRAGUA,11364,18610
CAQUETA,SAN VICENTE DEL CAGUAN,42390,18753
CAQUETA,SOLANO,10331,18756
CAQUETA,SOLITA,5431,18785
CAQUETA,VALPARAISO,6082,18860
CAUCA,POPAYAN,277270,19001
CAUCA,ALMAGUER,16523,19022
CAUCA,ARGELIA,20136,19050
CAUCA,BALBOA,18910,19075
CAUCA,BOLIVAR,35837,19100
CAUCA,BUENOS AIRES,25257,19110
CAUCA,CAJIBIO,32237,19130
CAUCA,CALDONO,36139,19137
CAUCA,CALOTO,25416,19142
CAUCA,CORINTO,21975,19212
CAUCA,EL TAMBO,38688,19256
CAUCA,FLORENCIA,5089,19290
CAUCA,GUACHENE,18513,19300
CAUCA,GUAPI,24037,19318
CAUCA,INZA,26571,19355
CAUCA,JAMBALO,16353,19364
CAUCA,LA SIERRA,9935,19392
CAUCA,LA VEGA,19777,19397
CAUCA,LOPEZ,15154,19418
CAUCA,MERCADERES,14824,19450
CAUCA,MIRANDA,28662,19455
CAUCA,MORALES,29737,19473
CAUCA,PADILLA,8763,19513
CAUCA,PAEZ,37666,19517
CAUCA,PATIA,28586,19532
CAUCA,PIAMONTE,7125,19533
CAUCA,PIENDAMO,33431,19548
CAUCA,PUERTO TEJADA,40244,19573
CAUCA,PURACE,14952,19585
CAUCA,ROSAS,9336,19622
CAUCA,SAN SEBASTIAN,9806,19693
CAUCA,SANTANDER DE QUILICHAO,96032,19698
CAUCA,SANTA ROSA,5045,19701
CAUCA,SILVIA,33508,19743
CAUCA,SOTARA,11958,19760
CAUCA,SUAREZ,19690,19780
CAUCA,SUCRE,6201,19785
CAUCA,TIMBIO,32217,19807
CAUCA,TIMBIQUI,21618,19809
CAUCA,TORIBIO,30654,19821
CAUCA,TOTORO,20870,19824
CAUCA,VILLA RICA,18761,19845
CESAR,VALLEDUPAR,459349,20001
CESAR,AGUACHICA,95878,20011
CESAR,AGUSTIN CODAZZI,58621,20013
CESAR,ASTREA,18434,20032
CESAR,BECERRIL,20477,20045
CESAR,BOSCONIA,37531,20060
CESAR,CHIMICHAGUA,30289,20175
CESAR,CHIRIGUANA,27006,20178
CESAR,CURUMANI,34838,20228
CESAR,EL COPEY,28550,20238
CESAR,EL PASO,34620,20250
CESAR,GAMARRA,12444,20295
CESAR,GONZALEZ,4053,20310
CESAR,LA GLORIA,14989,20383
CESAR,LA JAGUA DE IBIRICO,37356,20400
CESAR,MANAURE,9313,20443
CESAR,PAILITAS,16800,20517
CESAR,PELAYA,18497,20550
CESAR,PUEBLO BELLO,22929,20570
CESAR,RIO DE ORO,14408,20614
CESAR,LA PAZ,26109,20621
CESAR,SAN ALBERTO,23040,20710
CESAR,SAN DIEGO,18531,20750
CESAR,SAN MARTIN,20452,20770
CESAR,TAMALAMEQUE,14063,20787
CORDOBA,MONTERIA,433723,23001
CORDOBA,AYAPEL,38816,23068
CORDOBA,BUENAVISTA,18344,23079
CORDOBA,CANALETE,14831,23090
CORDOBA,CERETE,96252,23162
CORDOBA,CHIMA,13492,23168
CORDOBA,CHINU,42680,23182
CORDOBA,CIENAGA DE ORO,56278,23189
CORDOBA,COTORRA,16215,23300
CORDOBA,LA APARTADA,13742,23350
CORDOBA,LORICA,98491,23417
CORDOBA,LOS CORDOBAS,15886,23419
CORDOBA,MOMIL,16264,23464
CORDOBA,MONTELIBANO,71824,23466
CORDOBA,MOÑITOS,25095,23500
CORDOBA,PLANETA RICA,60259,23555
CORDOBA,PUEBLO NUEVO,26968,23570
CORDOBA,PUERTO ESCONDIDO,19474,23574
CORDOBA,PUERTO LIBERTADOR,35362,23580
CORDOBA,PURISIMA,14705,23586
CORDOBA,SAHAGUN,94020,23660
CORDOBA,SAN ANDRES SOTAVENTO,42046,23670
CORDOBA,SAN ANTERO,29028,23672
CORDOBA,SAN BERNARDO DEL VIENTO,29437,23675
CORDOBA,SAN CARLOS,23532,23678
CORDOBA,SAN JOSE DE URE,11059,23682
CORDOBA,SAN PELAYO,40617,23686
CORDOBA,TIERRALTA,86578,23807
CORDOBA,TUCHIN,40033,23815
CORDOBA,VALENCIA,30545,23855
CUNDINAMARCA,AGUA DE DIOS,10742,25001
CUNDINAMARCA,ALBAN,6136,25019
CUNDINAMARCA,ANAPOIMA,12241,25035
CUNDINAMARCA,ANOLAIMA,12204,25040
CUNDINAMARCA,ARBELAEZ,10005,25053
CUNDINAMARCA,BELTRAN,1720,25086
CUNDINAMARCA,BITUIMA,2224,25095
CUNDINAMARCA,BOJACA,9674,25099
CUNDINAMARCA,CABRERA,4512,25120
CUNDINAMARCA,CACHIPAY,9274,25123
CUNDINAMARCA,CAJICA,81111,25126
CUNDINAMARCA,CAPARRAPI,10301,25148
CUNDINAMARCA,CAQUEZA,15594,25151
CUNDINAMARCA,CARMEN DE CARUPA,7345,25154
CUNDINAMARCA,CHAGUANI,3323,25168
CUNDINAMARCA,CHIA,129613,25175
CUNDINAMARCA,CHIPAQUE,8633,25178
CUNDINAMARCA,CHOACHI,10397,25181
CUNDINAMARCA,CHOCONTA,19825,25183
CUNDINAMARCA,COGUA,21102,25200
CUNDINAMARCA,COTA,31868,25214
CUNDINAMARCA,CUCUNUBA,7013,25224
CUNDINAMARCA,EL COLEGIO,22775,25245
CUNDINAMARCA,EL PEÑON,3458,25258
CUNDINAMARCA,EL ROSAL,21887,25260
CUNDINAMARCA,FACATATIVA,136041,25269
CUNDINAMARCA,FOMEQUE,10749,25279
CUNDINAMARCA,FOSCA,5578,25281
CUNDINAMARCA,FUNZA,90854,25286
CUNDINAMARCA,FUQUENE,4849,25288
CUNDINAMARCA,FUSAGASUGA,134658,25290
CUNDINAMARCA,GACHALA,4378,25293
CUNDINAMARCA,GACHANCIPA,16633,25295
CUNDINAMARCA,GACHETA,8203,25297
CUNDINAMARCA,GAMA,3055,25299
CUNDINAMARCA,GIRARDOT,92903,25307
CUNDINAMARCA,GRANADA,6922,25312
CUNDINAMARCA,GUACHETA,12405,25317
CUNDINAMARCA,GUADUAS,27571,25320
CUNDINAMARCA,GUASCA,14992,25322
CUNDINAMARCA,GUATAQUI,1977,25324
CUNDINAMARCA,GUATAVITA,6148,25326
CUNDINAMARCA,GUAYABAL DE SIQUIMA,3604,25328
CUNDINAMARCA,GUAYABETAL,5809,25335
CUNDINAMARCA,GUTIERREZ,3311,25339
CUNDINAMARCA,JERUSALEN,2025,25368
CUNDINAMARCA,JUNIN,5234,25372
CUNDINAMARCA,LA CALERA,28501,25377
CUNDINAMARCA,LA MESA,29452,25386
CUNDINAMARCA,LA PALMA,7708,25394
CUNDINAMARCA,LA PEÑA,5429,25398
CUNDINAMARCA,LA VEGA,13085,25402
CUNDINAMARCA,LENGUAZAQUE,9425,25407
CUNDINAMARCA,MACHETA,6057,25426
CUNDINAMARCA,MADRID,109696,25430
CUNDINAMARCA,MANTA,3354,25436
CUNDINAMARCA,MEDINA,7281,25438
CUNDINAMARCA,MOSQUERA,128893,25473
CUNDINAMARCA,NARIÑO,2101,25483
CUNDINAMARCA,NEMOCON,12198,25486
CUNDINAMARCA,NILO,10555,25488
CUNDINAMARCA,NIMAIMA,3086,25489
CUNDINAMARCA,NOCAIMA,5211,25491
CUNDINAMARCA,VENECIA,4130,25506
CUNDINAMARCA,PACHO,23726,25513
CUNDINAMARCA,PAIME,3865,25518
CUNDINAMARCA,PANDI,4735,25524
CUNDINAMARCA,PARATEBUENO,8043,25530
CUNDINAMARCA,PASCA,8686,25535
CUNDINAMARCA,PUERTO SALGAR,15019,25572
CUNDINAMARCA,PULI,2525,25580
CUNDINAMARCA,QUEBRADANEGRA,4453,25592
CUNDINAMARCA,QUETAME,4929,25594
CUNDINAMARCA,QUIPILE,6114,25596
CUNDINAMARCA,APULO,7533,25599
CUNDINAMARCA,RICAURTE,10788,25612
CUNDINAMARCA,SAN ANTONIO DEL TEQUENDAMA,10214,25645
CUNDINAMARCA,SAN BERNARDO,7417,25649
CUNDINAMARCA,SAN CAYETANO,4043,25653
CUNDINAMARCA,SAN FRANCISCO,9644,25658
CUNDINAMARCA,SAN JUAN DE RIO SECO,7547,25662
CUNDINAMARCA,SASAIMA,9807,25718
CUNDINAMARCA,SESQUILE,11067,25736
CUNDINAMARCA,SIBATE,32803,25740
CUNDINAMARCA,SILVANIA,20581,25743
CUNDINAMARCA,SIMIJACA,11526,25745
CUNDINAMARCA,SOACHA,645205,25754
CUNDINAMARCA,SOPO,24838,25758
CUNDINAMARCA,SUBACHOQUE,14874,25769
CUNDINAMARCA,SUESCA,15401,25772
CUNDINAMARCA,SUPATA,4726,25777
CUNDINAMARCA,SUSA,6073,25779
CUNDINAMARCA,SUTATAUSA,5258,25781
CUNDINAMARCA,TABIO,20602,25785
CUNDINAMARCA,TAUSA,6735,25793
CUNDINAMARCA,TENA,8072,25797
CUNDINAMARCA,TENJO,20386,25799
CUNDINAMARCA,TIBACUY,3944,25805
CUNDINAMARCA,TIBIRITA,2439,25807
CUNDINAMARCA,TOCAIMA,13649,25815
CUNDINAMARCA,TOCANCIPA,39416,25817
CUNDINAMARCA,TOPAIPI,3537,25823
CUNDINAMARCA,UBALA,7583,25839
CUNDINAMARCA,UBAQUE,6390,25841
CUNDINAMARCA,VILLA DE SAN DIEGO DE UBATE,40001,25843
CUNDINAMARCA,UNE,6902,25845
CUNDINAMARCA,UTICA,4032,25851
CUNDINAMARCA,VERGARA,6063,25862
CUNDINAMARCA,VIANI,3806,25867
CUNDINAMARCA,VILLAGOMEZ,1712,25871
CUNDINAMARCA,VILLAPINZON,15834,25873
